Context,Response
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","There are never too many issues in living. In a way we take on too many issues at one time. Then we become over whelmed with ""anxiety and depression.""  A skillful, caring therapist will help you find a place to start and deal with one issue at a time. when this helps the other issues. Then the other issues become more manageable. I gain. confidence I can take on life better and, importantly , enjoy living life more. My best to you. Dr. Spencer"
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","There are never ""too many issues"" to be addressed in therapy.  Most people come in with multiple issues they want to address.  The wonderful thing about therapy, is that often, as one or more significant issues begin to change and improve-   the lead naturally without much effort to improvements in the other areas.  (For example, as you begin to address trauma and betrayal from you past, you may find that the insomnia improves). Your therapist, with you input and direction, can help you to prioritize which problem areas to target first."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",You can be helped. Many of the people I see have multiple issues. These issues are often linked so that helping one issue will positively help the other issues.
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","The short answer is: absolutely not! The longer answer is that it might take some time to process all of the issues, and it may feel quite ""muddy"" in the issues for a lot longer than is tolerable (which is why counseling may have been postponed to begin with for you.) It's important to be realistic when entering counseling of any sort, and that the therapist be realistic with you about what you might be able to expect working with that person (I use the words ""might be able to expect"" because therapy experiences can vary.) But that not having counseling about trauma that you have experienced much earlier in your life can play a significant role in the process and how long that process could take to unpack all that may have been buried over time.It might also be helpful in counseling to work with the therapist on figuring out where to begin, but to also manage the feelings of being overwhelmed that may make it hard to continue to show up and do the work required, week in and week out. It isn't easy work trying to process past pain that you experienced, and so consistent practice of self-care, including leaning on support systems outside of therapy, is key."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Usually people who struggle with depression also have symptoms of anxiety. These symptoms come about as a result of underlying causes. The obstacles you have been overcoming such as abuse, cancer and insomnia likely bring about similar feelings and emotions in you which affect your self-esteem. Counseling is meant to support people who have layers of difficulties. We see the difficulties as layers to an onion, peeling away the many layers."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Often times when an individual begins the counseling process it is revealed that there is more than one thing going on. When we think about how much is wrong, it can be overwhelming and we may not know where to even start. Counseling can provide guidance to help you to begin working toward healing in a way that is most helpful for you to reach your goals."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","It is very common for people to have multiple issues that they want to (and need to) address in counseling.  I have had clients ask that same question and through more exploration, there is often an underlying fear that they  ""can't be helped"" or that they will ""be too much for their therapist."" I don't know if any of this rings true for you. But, most people have more than one problem in their lives and more often than not,  people have numerous significant stressors in their lives.  Let's face it, life can be complicated! Therapists are completely ready and equipped to handle all of the issues small or large that a client presents in session. Most therapists over the first couple of sessions will help you prioritize the issues you are facing so that you start addressing the issues that are causing you the most distress.  You can never have too many issues to address in counseling.  All of the issues you mention above can be successfully worked through in counseling."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Absolutely not! When we have the courage to accept the challenge to address whatever is causing us pain, the solutions often generalize to many, if not all of our symptoms. I would suggest that unresolved trauma from sexual abuse is likely a primary contributing factor. However, it is important that you first build a trusting relationship with a therapist experienced in trauma treatment as this is an area of specialty that not all therapists are skilled in treating. Choosing one issue to work on, such as anxiety or depressive symptoms, and starting there will allow you the opportunity to get to know your therapist, learn coping skills for managing distressing symptoms, and establish emotional safety before jumping into trauma work."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Hello there,No one has too many issues to address in counseling. Once you start counseling, your therapist will help you identify which issues to start working on first and which are causing you the most distress. Once you and your therapist prioritize your concerns, you can start to address each concern, starting with the one causing the most distress for you."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","It sounds like you are feeling pretty overwhelmed. But you are also a survivor and have the benefit of a long, stable marriage. You do not have too many issues to address in counseling. A good therapist will help you to partialize your goals into smaller objectives and focus in on what's most pressing for you to address first in treatment."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Hello! You may have heard the saying that counseling is like peeling the layers of an onion. Whether a person comes to therapy with many issues on their heart and mind or whether he/she comes with something specific, one issue leads to another. Please don't feel as though you have too many issues. You are important and worthy. On the plus side,  you are a breast cancer survivor and have a wonderful marriage! Seek the help that you deserve."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","You do not have too many issues to address in counseling.  And your perseverance will serve you well if you choose to engage in therapy.  The trauma and medical event you experienced topped off with chronic sleepless nights would lead to feelings of depression for many.  The emotional reaction you've had to these experiences sounds normal albeit troublesome and I would imagine intensely painful at times as well.  Therapy can help prioritize what is the most impactful issue you are grappling with.  I find in therapy that when the central issue is revealed, understood, processed, and understood again in its current context, many other areas of the person's internal experience improve.  It sounds as though something has prevented you from seeking help from a counselor in the past, and it sounds as though you are more seriously considering it now.  Therapy helps and it can help you when you're ready."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Thank you for sharing your history. You do not have too many issues to address in counseling. It will help to prioritize what you would like to work on first in therapy. Your therapist will create a treatment plan with you, which can always be changed while working together. Therapy is a process in working towards your best life, and you deserve it."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Not at all! Whatever issues you might have you can bring to the therapy room. Remember therapy is about YOU, not your therapist. You bring whatever you need to bring to the table. Keep in mind these issues are likely related. Remember you are a holistic being, more than just the sum of the parts. Just like any system, when you move something in one area, things start changing in other areas as well. Talk to your therapist to decide goals for counseling and establish priorities, and ENJOY THE RIDE! Growing, flourishing, and finally letting go of what hurts can be a beautiful and exciting process."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","You absolutely do not have ""too many issues"" for counseling. Your reaching out to ask this question shows you have a resilient spirit. Also, your happy marriage can be a support and strength to you as you embark on a counseling journey. I would recommend that you find a counselor who specializes in trauma, sexual trauma and/or EMDR (a type of therapy that is proven to have a strong impact on healing from trauma). Good luck!"
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","I don't think you have too many issues for counseling.  If a client came to me for help with the same issues that you have listed here I would first want them to meet with their doctor to get a physical to rule out any biological causes to your depression, anxiety, and insomnia.  I would work with you on deciding which of these issues to tackle first.  I usually suggest starting with the issue that is easiest.  Reading through your symptoms I might choose anxiety to start with since you are in the early stages of it.  I like to give my client skills they can use right away, so I would focus on teaching you breathing exercises to manage the anxiety as well as cognitive restructuring so that when an anxious thought pops up you can talk yourself through it.  Once you felt that you had some control over the anxiety I'd start to work on some of your other concerns, but I would seek your input on what you felt like might be good to work on next.  My gut is that some of these issues would be resolved as you worked on others.  For example as you worked on your anxiety and began to process your trauma and as you began to work on self care and getting more sleep - your self esteem would probably improve.  I encourage you to meet with a therapist and ask them how they might be able to help you.  These are just some thoughts that came up for me on how I might help someone with the same or similar symptoms."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","The way it goes is that all your issues are connected. Once you work on one issue it will have a positive effect on all areas. Slowly each issue is addressed and actually less issues will need to be addressed directly since resolving one helps your overall wellness. So no, you do not have too many issues. Don’t give up. Get help now and see how your life can change for the better."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","I think this is a very common question that people who have never been to counseling before have.  There is a lot of anxiety in going to counseling for the first time.  This is normal.  In answer to your  question, the answer is an absolute NO!  An important thing to remember about getting counseling is that it is a courageous first step towards hope and healing.  Getting help is like training to run a marathon, it is not a sprint.  You have shared a lot of issues that you are dealing with from your past, that are now negatively impacting your present, but I believe that in getting the right kind of help and support, none of them are impossible to overcome.  Part of the therapeutic process is defining and prioritizing therapy goals.  In collaboration with you, as a client, a therapist is there to help you with this process in determining what you would like to work on first.  Not getting counseling, based on the history you have shared, has the potential to put you more at risk for mental and physical health issues.  You are already seeing this happen as you begin to experience new symptoms, namely your anxiety.  In therapy, you will gain understanding and insight, as well as learn skills and strategies to manage the symptoms you are experiencing.In conclusion, I would encourage you to reach out to a licensed counselor who has experience in treating trauma, grief/loss and will address shame.  These are three areas that I have found that gets to  the core issues that are contributing to your depression and anxiety.   I believe you can get the help you need to find hope and healing.  Best of luck to you!"
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Hello, I'm so glad you decided to take the first step in opening a conversation first. Deciding to go to therapy can sometimes be difficult for some, but with the right therapist, healing is possible and obtainable, even with what you've described. To answer your question, no you do not have too many issues to go to counseling.  You've been through a lot and have been strong and at times it's helpful to have someone else to help you through it. What I would say is to be sure and find a therapist who is experienced in sexual abuse and trauma overall. But you absolutely do not have too many issues for counseling. Please feel free to ask any other questions you may have regarding your situation and I hope you find the therapist you're looking for, there are many great ones out there. Many of the issues you're experiencing may be tied together from the trauma. Best Wishes. Laura Cassity, LMSW, LMAC"
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Not at all my dear. Human beings are complex creatures, and in my opinion, our issues interconnect in a very nuanced web between our levels of being (for example, mind, body, and spirit). Everything you bring up affects all three. The truly beautiful thing about the human body is that when you begin to work on one, the others improve as well!I would encourage you to seek out a counselor who's style and approach speaks to you and start with whichever issue feels most pressing to you. A skilled therapist will flow with you at your own pace and make recommendations to other professionals (e.g., physicians, holistic practitioners, EMDR specialists for trauma etc) as needed to complement the psychotherapy work you're doing with him or her to help you find the total healing you seek. I wish you well on your journey!"
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","Everyone has topics to discuss when they start therapy.   There is no correct number of topics.youSometimes people go to therapy for one specific area of their life.   Not everyone has the time or interest to utilize therapy just when a significant topic arises in their life.Since you are one person, no matter how many or few topics you would like to address in therapy, all the topics relate to you.Possibly the result of your therapy will be more transformational than if you talked only on one topic.  Lucky you, to be on the cusp of clearing and resolving many vulnerabilities at once.   You will feel brand new by the time you finish your therapy work!"
"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by something that I know of.","Answers about our inner lives are most successfully reached from a sense of feeling grounded in oneself.First step is to accept your nervousness and restless sleep.  As often as possible, sleep during daytimes in order for your body to catch up on its need for rest.Accept too about feeling down.  It is normal to feel down once in a while.  From this place of self-acceptance, trust any answers which come up to your mind.  Often answers about complicated topics come in small pieces, not all at once as a whole unit.Also, your description about panic attacks is also completely normal.   They often arise unrelated to particular conditions at a given moment.  They are a healthy symptom your body is trying to expel bad feelings and does this by having the anxiety erupt at times.So, self-acceptance, tolerance of being on a process of clearing out worn out emotional clutter, and sleep at odd times if possible, are all ways to stabilize yourself, which will also feel calm and good!"
"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by something that I know of.","It could be really helpful to see a counselor/therapist about your increasing depression/panic symptoms. Finding out the cause of depression/anxiety isn't always as straightforward as it seems, since both issues tend to become patterns we engage in rather than solely related to a specific trigger/reason. For example, if I am feeling down about a particular circumstance in my life, then I start seeing life through this lens of feeling down, and typically I'll start to see a lot more that I get down about, and it can really build very quickly on itself. Same with anxiety. Obviously, this is a very simplified example and it can be very difficult to see how the pattern is maintained, but that's where working with a counselor/therapist comes in. I would be curious about whether you can start to notice the initial sensations of panic, and if you can (through the panic attack) continue to maintain awareness of the actual physical sensations. Even better if you can talk yourself through the sensations you're feeling - such as saying to yourself ""Okay, I'm breathing really rapidly, and my heart is racing, now my palms are sweaty and my chest is feeling really tight..."" Reminding yourself that it's just your body's reaction to stress, and while it might be overreacting right now, you're okay and eventually it will go away. I highly recommend the SAM for Anxiety Management app for the anxiety piece, and I wouldn't be surprised if addressing the anxiety helped to address some of the depression too."
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,Have you used meditation or hypnosis? Relaxing the mind and connecting with your true self is a great way to calm your thoughts and get to peace and calm. Hypnosis and meditation have helped a lot of people with anxiety and depression. Google hypnotherapists near me or write for a while about what is going on.
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,Working with a great therapist who can help you learn ways to cope might be beneficial to you.  Sometimes just the act of being able to talk about things with a nonjudgmental person helps take some of the burden off of you.  A therapist can help you change your thought patterns and teach you coping skills to reduce your symptoms.
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,"Anxiety and depression is caused by ineffective functioning of the adrenals, kidneys, and the other systems that affects.A basic protocol of natural health makes quick work of it (about 2-3 months-ish; maybe shorter with a good constitution, in your body) :)"
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,"Meditation may be able to assist you in lowering your anxiety and depressive symptoms. Meditation…Breaks Anxious Thought PatternsA common symptom of anxiety is having racing negative and obsessive thoughts that create a vicious cycle of worry within your mind. Meditation can reduce rumination and the break negative thought patterns by increasing your control over random unwanted thoughts and decreasing your tendency to worry by altering the way your brain responds to stress. For example, instead of following your negative thought down the rabbit hole, you learn to view your thoughts differently and recognize it for what it is – a thought – and let it go. Thank goodness to neuroplasticity and your brains endless capacity to change! Balances Brain ChemicalsAnxiety is brought on by various factors (personality type, emotional trauma, genes, prolonged exposure to stress…) and sometimes causes an imbalance of chemicals within the brain (GABA and serotonin). A meditation practice can assist in restoring the balance of neurotransmitters within the brain by increasing GABA (neurotransmitter connected to feeling happy and relaxed) and serotonin (another neurotransmitter connected to being happy) and decreasing cortisol (stress hormone).Builds A Healthier BrainBased on research and scans, individuals who have a regular meditation practice show dramatically larger amounts of gray matter, the volume of the hippocampus, thickness of the cortex, increased blood flow to the brain, improved neural connections between various parts of the brain and decreased size of the amygdala (controls autonomic responses associated with fear, arousal, and emotional stimulation). View full article here: https://www.therapybyshannon.com/blog-2/2019/4/16/meditate-to-lower-anxiety-levels"
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,Anxiety and depression are often linked. I don't consider them as diseases. Depression is a symptom of deep hurts to the sense of self that leaves a person feeling shamed. Anxiety is a symptom of not being given the proper emotional resources to handle the problems of life. It is also the result of being taught that life is a dangerous place that can't be managed.
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,"Depression and anxiety can be disconcerting and disruptive to our lives in many ways. I am sorry that you are suffering so much. Depression and anxiety can arise due to experiences, genetics or a combination of both. I like for my clients look at their issues as whole persons so I would also recommend these tips:Physical: regular exercise, healthy balanced diet, rest and sleepMental: how we think is how we feel. How are you interpreting the events that are happening to you? Try to interpret them in a less negative way. Unfortunately we cannot stop our thoughts as our brain is always working. If you can't see your issues in a different way then stop struggling and allow and accept whatever the unhelpful thoughts are. Choose to take actions based on your values and what will give you a fulfilling life no matter what your thoughts are. Remember, your thoughts have no power unless you act upon them. Emotional: do not let feelings dictate your actions, even if something feels anxious take action again based on your values and how you want to live.   Social: connect with healthy friends and family that will be a positive support. Take up some hobbies and recreation activities as well. If things do not improve I would encourage you to make an appointment with a talk therapist and discuss these issues. I would encourage you to also be open to consider an evaluation for anti-depressants with these issues as well. If you ever feel like you might hurt yourself please call 911 or go to your nearest ER."
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,Life can bring us all kinds of struggles.   Depression and Anxiety are very common reasons people come into counseling.  Both can be debilitating.  Sometimes when life struggles and stresses build up anxiety and depression become prominent.  Learning tools to ride the waves  of life is a core part of counseling.  If you are ready to manage the symptoms and come up with a plan visit staceybshapiro.com for more information.
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,"Wanting to make changes and asking for assistance is the first step. Overcoming anxiety and depression is not an easy feat to do on your own, especially if it's been something you have been battling for years.  There are some different routes you may go down in order to start the healing process:Therapy - find a therapist who has a lot of experience with anxiety and depression. You can do this by googling ""anxiety depression therapist "" in your city.  CounselChat also has a directory of amazing therapists, as does Psychology TodayMedication - Depending on what other symptoms you may be struggling with depends on what medication you will be prescribed. Be 100% honest with the doctor and ask about different side effects or potential risks associated with the medication. You more than likely will be prescribed an SSRI.Therapy & Medication - The outcomes are very good for those who decide to do both. Medication can help level out out your mood and therapy can help you process through your emotions and keep you accountable for you goals , as you will be seeing your therapist more often than your psychiatristTherapy & Homeopathy - Homeopathy could potentially be a good tool to use alongside with therapy in case you are not interested in going down the medication route. Arsenicum album is most commonly given to those who struggle with anxiety and depression.The choice is yours. My recommendation is to start with therapy and explore your options more in depth with your therapist."
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,"First, be patient because anxiety and depression are rooted in a person's outlook on who they are and how they handle situations and relationships.Changing these deep major structures in your life takes time to try new ways and see what develops, then fine tune accordingly.Most commonly, anxiety and depression relate to one's self definition.Reflect on your own opinion of yourself and whether you'd like making any adjustments to this.   Then figure out what stops or inhibits you from doing this.Try new ways of thinking and interacting with other people.  The changed impression you make on others will influence your own view of who you are.In America people take Pharma pills to not feel badly.If you prefer to make natural, long-lasting change then reflect, read, try therapy if it feels right to you.Eventually you will be better off this way than to take drugs to hide how you truly feel."
How can I get to a place where I can be content from day to day?,"Your question is a fascinating one!As humans we have the ability to reflect on situations in our lives.Even if nothing currently goes on in a particular moment, it’s possible you’re reflecting on a serious or upsetting matter.And, our emotions linger within us.Just because a particular moment feels calm, inside your feelings may be the sense of a strong unsettled emotion from the recent past.Good for you to be aware of your own sensitivity to living with awareness of your moods and thoughts."
How can I get to a place where I can be content from day to day?,"One thing that comes to mind is making a list of some things that happen each day. It could be that there are things that are affecting how upset you are, but because so many other things are going on, you may not notice.Another idea to try is to keep a list for a month of one good thing that happened each day. This way, when you're having a rough day, you have a list to think of and take a look at.Are you eating and sleeping in ways that are typical for you (typically at least two meals per day and roughly 8 hours of sleep that night (may be different depending on your age)? These two ideas are closely related to changes in your mood.From where do you have support? Friends or family?Can you take 5 or 10 minutes per day to do something that you enjoy?If you think back to the last time that you felt ""content,"" what was contributing to that?Another possibility is to try to be mindful of things that you do every day. For example, rather than eating a turkey sandwich as fast as possible on your lunch break, consider actually tasting it and enjoying it. Also consider giving yourself praise for doing something well. For example, when you finish your paperwork, take a moment to notice that and maybe reward yourself by checking your e-mail, reading five pages of a book, or something else that can be done quickly before you get back to your next task."
How can I get to a place where I can be content from day to day?,It's important to take a look inside and see what's going on with you to cause you to have these feelings.  Please contact us in whatever way is most comfortable for you and we can get you set up with someone who will help you figure out this space in your life.
"I have a severe back problem. I've had 3 major and several minor operations, but I'm still in constant pain. How can I deal with the depression from this chronic pain?","Chronic pain at the back likely results from a few areas:L4-L5 kidney zone, most likely (lower back);Bone spurs, fused discs, and slipped discs, caused by connective tissue weakness, and calcium deposits used to neutralize highly acidic areas...The 'depression' will evaporate when the chronic pain is drained out, through natural means;Pharmaceutical means will simply extend the pain and cause it to deepen over time, not solving the problem;Remember, medical doctors suppress, natural doctors cure..."
"I have a severe back problem. I've had 3 major and several minor operations, but I'm still in constant pain. How can I deal with the depression from this chronic pain?","Maybe if you started to address questions of an inner nature of what changed in your life as a result of the back problem.To know your limitations and the areas of your life which they affect, will greatly contribute to stronger self-knowledge within you.Greater awareness and sense of direction very often decreases depression."
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","If it is simply counseling that you seek, any number of faith-based outfits are very willing to listen and help out with these sorts of matters, free of charge :)Online messaging and social media is a secondary option, however this one may come with privacy concerns and consequences;If it were I, I would attempt to sweet-talk one or two counselors I come across to do a bit of work for folks who can't afford it :)"
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","Look up online what the local hospital offers to people.  Also, google some of the key words you just wrote here, like depression and counseling, low-cost counseling.Did your primary physician tell you their reason to not help you?  If not, then ask the person to tell you their reasoning.  Even if the specific doctor won't help you, by understanding their reason, you may be able to work with the answer you hear."
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","I would check out agencies that offer affordable counseling based on your income or very low cost counseling sessions, i.e., Pacific Clinics, Hathaway Sycamore, Pasadena Mental Health Center, Burbank Family Center. If you google affordable or low cost therapy in your particular area you will find resources to help you."
"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent. This is causing major problems for my ego and it's diminishing my self esteem. This has resulted in ongoing depression and tearing apart my marriage.    I am devastated and cannot find a cause for these issues. I am very attracted to my wife and want to express it in the bedroom like I used to.    What could be causing this, and what can I do about it?","First step always is to do a medical rule out so that you're sure the problem is psychological and emotion based, not a medical condition which requires care and attention.If you are medically clear in the reasons for losing your erection, then reflect on what may be creating a loss in confidence in either who you are and what you're doing with your life, or whether your wife has these sort of problems within herself.Often a problem transfers ownership of who shows it.If you are a sensitive person its possible your erection problem reflects your wife's insecurities and self-doubt.  If she is someone who is reluctant to talk about feeling unsure then in a certain way by you showing a problem, she can avoid looking at herself.There may not be a direct cause such as usually exists in a medical problem.Medicine looks for symptoms to treat.Our emotional lives are much more indirect.If you feel stress at work or are unhappy in the place you live, for example, then your frustration may show up in your sex life.Basically, do a broad inward search of your life and what it holds and maybe ask your wife to do the same.You may clear the air within yourselves and between each other so the problem goes away."
"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent. This is causing major problems for my ego and it's diminishing my self esteem. This has resulted in ongoing depression and tearing apart my marriage.    I am devastated and cannot find a cause for these issues. I am very attracted to my wife and want to express it in the bedroom like I used to.    What could be causing this, and what can I do about it?","When I'm working with men with this type of situation, I always suggest a medical examination to rule out any type of organic reason for a difficulty in maintaining interaction. In cases where there is no medical reason for the loss of erection, I find that many men have a similar situation in experiencing negative intrusive thinking during lovemaking. My counseling approach for this situation is to incorporate the use of mindful sex."
"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent. This is causing major problems for my ego and it's diminishing my self esteem. This has resulted in ongoing depression and tearing apart my marriage.    I am devastated and cannot find a cause for these issues. I am very attracted to my wife and want to express it in the bedroom like I used to.    What could be causing this, and what can I do about it?","For starters, know that this is a normal experience for many men at some point in their lives. While this can certainly cause some embarrassment, a diminished sexual esteem or relationship problems, it is important to know you are not alone. I am going to move forward assuming that you have already checked with a medical professional to rule out any medical problems that may be related to this. Assuming that is the case, for most this happens for two primary reasons. It is either a short term biological shortage of blood flow to the penis. This can be caused my diet, lack of exercise, even stress. Another primary reason for loss of erections are anxiety. Have their been recent relationship issues? Are you feeling as though you aren't satisfied in the bedroom? These are just a few aspects that can cause subconscious anxiety and loss of erection. My suggestion to you would be to seek out a counselor that specializes in sexuality that can assist you in moving forward with this.  Best of Luck!"
"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent. This is causing major problems for my ego and it's diminishing my self esteem. This has resulted in ongoing depression and tearing apart my marriage.    I am devastated and cannot find a cause for these issues. I am very attracted to my wife and want to express it in the bedroom like I used to.    What could be causing this, and what can I do about it?","Erection maintenance is caused by connective tissue weakness as well as lymphatic stagnation of the area and accompanying channels.  A proper detoxification is necessary to reverse the stagnation and get things flowing again.Lower circulation and pituitary might also be indicated.Medical will likely not recommend anything useful in the long term (pharmaceuticals do not solve a problem, only suppress it; and, it will return again later and worse than before);Certain herbal protocols and natural protocols would be very warranted in getting things going again :)"
